Symbol,Country,Company
360ONE.NS,India,360 ONE WAM LIMITED
KEI.NS,India,KEI Industries Limited
JBCHEPHARM.NS,India,JB Chemicals & Pharmaceuticals Limited
LALPATHLAB.NS,India,Dr. Lal Path Labs Ltd.
JSL.NS,India,Jindal Stainless Limited
IRB.NS,India,IRB Infrastructure Developers Limited
EXIDEIND.NS,India,Exide Industries Limited
PVR.NS,India,PVR Limited
GSPL.NS,India,Gujarat State Petronet Limited
BLUEDART.NS,India,Blue Dart Express Limited
NATIONALUM.NS,India,National Aluminium Company Limited
RVNL.NS,India,Rail Vikas Nigam Limited
CREDITACC.NS,India,CREDITACCESS GRAMEEN LIMITED
TRIDENT.NS,India,Trident Limited
POWERINDIA.NS,India,Hitachi Energy India Limited
MEDANTA.NS,India,Global Health Limited
GILLETTE.NS,India,Gillette India Limited
RATNAMANI.NS,India,Ratnamani Metals & Tubes Limited
ELGIEQUIP.NS,India,Elgi Equipments Limited
ISEC.NS,India,ICICI Securities Limited
CGCL.NS,India,Capri Global Capital Limited
GODREJIND.NS,India,Godrej Industries Limited
CLEAN.NS,India,Clean Science and Technology Limited
MAZDOCK.NS,India,Mazagon Dock Shipbuilders Limited
MAHINDCIE.NS,India,Mahindra CIE Automotive Limited
AEGISCHEM.NS,India,Aegis Logistics Limited
FACT.NS,India,Fertilizers and Chemicals Travancore Limited
BLUESTARCO.NS,India,Blue Star Limited
SANOFI.NS,India,Sanofi India Limited
FINEORG.NS,India,Fine Organic Industries Limited
AFFLE.NS,India,Affle (India) Limited
GLENMARK.NS,India,Glenmark Pharmaceuticals Limited
NAM-INDIA.NS,India,Nippon Life India Asset Management Limited
SJVN.NS,India,SJVN Limited
REDINGTON.NS,India,Redington Limited
AAVAS.NS,India,Aavas Financiers Limited
IDFC.NS,India,IDFC Limited
FINCABLES.NS,India,Finolex Cables Limited
NUVOCO.NS,India,Nuvoco Vistas Corporation Limited
BAJAJELEC.NS,India,Bajaj Electricals Limited
APTUS.NS,India,Aptus Value Housing Finance India Limited
SUVENPHAR.NS,India,Suven Pharmaceuticals Limited
